shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
471072,47.16048962,-1.47078194,23802
471072,47.16048962,-1.47078194,23811
471072,47.15724784,-1.46804280,23812
471072,47.15724784,-1.46804280,23821
471072,47.15447112,-1.46758151,23822
471072,47.15447112,-1.46758151,23831
471072,47.14928857,-1.46906172,23832
471072,47.14928857,-1.46906172,23841
471072,47.15048552,-1.47099504,23842
471072,47.15048552,-1.47099504,23851
471072,47.15328061,-1.47634280,23852
471072,47.15328061,-1.47634280,23861
471072,47.15985795,-1.48169668,23862
471072,47.15985795,-1.48169668,23871
471072,47.16204305,-1.48370116,23872
471072,47.16204305,-1.48370116,23881
471072,47.16125865,-1.48562593,23882
471072,47.16125865,-1.48562593,23891
471072,47.16334300,-1.49066067,23892
471072,47.16334300,-1.49066067,23901
471072,47.16080750,-1.49378067,23902
471072,47.16080750,-1.49378067,23911
471072,47.15831350,-1.49835581,23912
471072,47.15831350,-1.49835581,23921
471072,47.15831755,-1.50363779,23922
471072,47.15831755,-1.50363779,23931
471072,47.16365142,-1.50573699,23932
471072,47.16365142,-1.50573699,23941
471072,47.16583171,-1.50787434,23942
471072,47.16583171,-1.50787434,23951
471072,47.16744204,-1.51089539,23952
471072,47.16744204,-1.51089539,23961
471072,47.16933769,-1.51076745,23962
471072,47.16933769,-1.51076745,23971
471072,47.16974803,-1.50657066,23972
471072,47.16974803,-1.50657066,23981
471072,47.16828894,-1.50171153,23982
471072,47.16828894,-1.50171153,23991
471072,47.16474964,-1.50251433,23992
471072,47.16474964,-1.50251433,24001
471072,47.16175622,-1.50045104,24002
471072,47.16175622,-1.50045104,24011
471072,47.16241793,-1.50221513,24012
471173,47.16232808,-1.50220869,24431
471173,47.16196226,-1.49967350,24432
471173,47.16196226,-1.49967350,24441
471173,47.16458751,-1.50197447,24442
471173,47.16458751,-1.50197447,24451
471173,47.16730498,-1.50150894,24452
471173,47.16730498,-1.50150894,24461
471173,47.16951366,-1.50549728,24462
471173,47.16951366,-1.50549728,24471
471173,47.16877217,-1.51151923,24472
471173,47.16877217,-1.51151923,24481
471173,47.16710025,-1.51034257,24482
471173,47.16710025,-1.51034257,24491
471173,47.16582731,-1.50800609,24492
471173,47.16582731,-1.50800609,24501
471173,47.16400203,-1.50602626,24502
471173,47.16400203,-1.50602626,24511
471173,47.15786830,-1.50360558,24512
471173,47.15786830,-1.50360558,24521
471173,47.15793215,-1.49898871,24522
471173,47.15793215,-1.49898871,24531
471173,47.16043494,-1.49415017,24532
471173,47.16043494,-1.49415017,24541
471173,47.16363007,-1.49015297,24542
471173,47.16363007,-1.49015297,24551
471173,47.16133976,-1.48589582,24552
471173,47.16133976,-1.48589582,24561
471173,47.16180846,-1.48262804,24562
471173,47.16180846,-1.48262804,24571
471173,47.15949854,-1.48167106,24572
471173,47.15949854,-1.48167106,24581
471173,47.15242571,-1.47496169,24582
471173,47.15242571,-1.47496169,24591
471173,47.15030582,-1.47098227,24592
471173,47.15030582,-1.47098227,24601
471173,47.14966104,-1.46869213,24602
471173,47.14966104,-1.46869213,24611
471173,47.15464647,-1.46772599,24612
471173,47.15464647,-1.46772599,24621
471173,47.15796666,-1.46809386,24622
471173,47.15796666,-1.46809386,24631
471173,47.16084032,-1.47107096,24632
471173,47.16084032,-1.47107096,24641
471173,47.16485751,-1.47214892,24642
471173,47.16485751,-1.47214892,24651
471173,47.16589542,-1.46799687,24652
471173,47.16589542,-1.46799687,24661
471173,47.16738808,-1.46915941,24662
471173,47.16738808,-1.46915941,24671
471173,47.16920963,-1.47126986,24672
481072,47.17591416,-1.59339984,24791
481072,47.15926556,-1.59825258,24792
481072,47.15926556,-1.59825258,24801
481072,47.15781429,-1.60118309,24802
481173,47.15807031,-1.60159806,24921
481173,47.15936441,-1.59799574,24922
481173,47.15936441,-1.59799574,24931
481173,47.17591416,-1.59339984,24932
481076,47.17591416,-1.59339984,24821
481076,47.15926556,-1.59825258,24822
481076,47.15926556,-1.59825258,24831
481076,47.15781429,-1.60118309,24832
481076,47.15781429,-1.60118309,24841
481076,47.15458912,-1.59804107,24842
481076,47.15458912,-1.59804107,24851
481076,47.15289572,-1.59487984,24852
481076,47.15289572,-1.59487984,24861
481076,47.15444566,-1.59169260,24862
481076,47.15444566,-1.59169260,24871
481076,47.15855607,-1.59265433,24872
481076,47.15855607,-1.59265433,24881
